page,person_or_pin,claim,citation_on_page,provenance,how_i_know,flag
"index.html","kevin","MARRIED 237 METRES FROM HIS GREAT-GREAT-GREAT-GRANDFATHER'S DOOR","St. Vincent de Paul church, 3051 Dauphine Street — now Blessed Francis Xavier Seelos. Distance measured between the geocoded church and the Larmann house on Dauphine; see the map.","E derived measurement","computed from geocoded coordinates",""
"index.html","buddy","HOLY TRINITY SCHOOL — and the German grandmother he did not have","Family testimony (Kevin Pedeaux, August 2026). Parish and school history: Holy Trinity Parish, founded 1847 for the German Catholics below Canal Street; school opened 1871 under Benedictine sisters, free parochial school from 1910; church closed 1997, deconsecrated, now the Marigny Opera House.","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","buddy","Where he grew up, and where he married","Family testimony (Kevin Pedeaux, August 2026), with the 1934 City of New Orleans tax bill on John Brunetti's page for the Mazant property","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","buddy","The cemetery register, in the archdiocese's own hand","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Archdiocese of New Orleans, Catholic Cemeteries burial register — profile 36915129, plot L3 SQ 5E / G ST. LOUIS AVENUE / 9. Searched 12 August 2026.","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","herbertJoseph","AN ELECTRICIAN, LIKE HIS FATHER — the 1950 census household","United States Census, 1950 — New Orleans, Orleans Parish, ED 36-458, sheet 6, lines 26–28 (NARA T628); house number 1638, dwelling unit 53","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","herbertJoseph","Louisiana birth record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 10 July 1921 — Vol. 175, p. 791","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","herbertJoseph","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, April 1943 — Vol. 58, p. 1681","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","herbertJoseph","Army enlistment — 30 October 1945, New Orleans","Electronic Army Serial Number Merged File, 1938–1946 — serial number 18153029","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","herbertJoseph","OCCUPATION FIELD: ELECTRICIAN for a construction company — read off the 1950 census, where he had worked forty weeks the year before.","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","veronicaBrunetti","Louisiana birth record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 20 November 1923 — Vol. 181, p. 2241","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","veronicaBrunetti","Her burial — and a question in the same plot","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Archdiocese of New Orleans, Catholic Cemeteries burial register — St. Louis No. 3, plot L3 SQ 5E / G ST. LOUIS AVENUE / 9, profile 36915128. Searched 12 August 2026.","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","numaSr","FOUR ELECTRICIANS, TWO FAMILIES, AND THE SAME UNION LOCAL BEFORE THE WEDDING","Soards' New Orleans City Directory, 1910 and 1912 (Numa Sr.). United States Census, 1950 — New Orleans, ED 36-458, sheet 6, lines 26–28 (Herbert Joseph). Obituary of Numa Louis Pedeaux Jr., Find a Grave memorial 137366059. John Richard Larmann Sr.'s trade from his 2018 obituary and family record.","D fetched online source","named index/site reached this session",""
"index.html","numaSr","AN ELECTRICIAN AT TWENTY-FOUR — and already on West End Boulevard","Soards' New Orleans City Directory, 1912, p. 871; with the 1910 volume, p. 882","D fetched online source","named index/site reached this session",""
"index.html","numaSr","HIS OWN HAND — the 1942 draft card, with his address, his telephone and his employer","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States, World War II Draft Registration Cards, 1942 — Fourth Registration, State of Louisiana; serial number U-1108, D.S.S. Form 1 (revised 4-1-42), signed by the registrant.","A document image in this repo","assets/img/pedeaux-1942-draft-card.jpg",""
"index.html","numaSr","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, July 1917 — Vol. 39, p. 1008","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","numaSr","1900 U.S. Census, Lafourche Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Household of Numa Pedaux (b. 1848) and wife Ulali (b. 1849)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","numaSr","OCCUPATION FIELD: ELECTRICIAN — for W. H. Neville at 931 Canal Street in 1912, and for Maritime Electric Co. at 615 Commerce Place in 1942. Thirty years in th","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","pierreNuma","Baptism — Church of the Assumption, Plattenville","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 7 (1848–1852), ASM-9, 290","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","pierreNuma","Marriage — St. Philomena, Labadieville","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 12 (1871–1873), SPH-4, 367","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","eulalieBorne","THE BORNES WERE FRENCH, NOT GERMAN — despite the German Coast","Albert J. Robichaux Jr., German Coast Families (1997), as abstracted on WikiTree and corroborated at the Pitre Trail genealogy","G published work, inherited","named book/journal; I did NOT open it","FLAG"
"index.html","antoineFlorentin","Baptism — Church of the Assumption, Plattenville","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 3 (1804–1818), ASM-6, 288","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","antoineFlorentin","Burial","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 9 (1858–1862), ASM-10, 168","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","marieCancienne","Burial","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 9 (1858–1862), ASM-10, 190","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","michelPedeau","Marriage — Church of the Assumption, Plattenville","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 3 (1804–1818), ASM-2, 127","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","michelPedeau","The 1810 census — his only census","Assumption Parish, Territory of Orleans, 1810 — NARA M252, p. 30, indexed as ""Michel Peddoe""","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","michelPedeauPere","Baptism of his son Michel André — Nantes, paroisse Saint-Nicolas","AD Loire-Atlantique 3 E 109/154, view 69 of 299 (7 April 1765)","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","michelPedeauPere","Death — Nantes table décennale des décès, 1793–an X","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Archives municipales de Nantes, 1E 1675, view 185 of 359, page 1234","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","michelPedeauPere","OCCUPATION FIELD: Charpentier et calfat de marine — ship's carpenter and caulker, port of Nantes","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","pierrePedeauFarinier","First marriage — Sainte-Croix, Machecoul","10 November 1705, to Jeanne Garnier — act imaged at the AD Loire-Atlantique","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","pierrePedeauFarinier","Second marriage — Sainte-Croix, Machecoul","10 January 1729, to Anne Béty (Bethuis) — act imaged at the AD Loire-Atlantique","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","pierrePedeauFarinier","OCCUPATION FIELD: Farinier — flour miller, probably at the Moulin de la Marche, Sainte-Pazanne","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","florenceAucoin","Baptism — Saint-Énogat, Diocese of Saint-Malo","AD Ille-et-Vilaine, 10 NUM 35093 86 — Dinard-Saint-Énogat, Baptêmes/Mariages 1780, view 8","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","florenceAucoin","Passenger list — La Ville d'Archangel, 1785","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Entry 21 of 55 family groups; arrived New Orleans 3 December 1785","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","florenceAucoin","Burial","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 7 (1848–1852), ASM-10, 120","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","michelAucoin","Passenger list — La Ville d'Archangel, 1785, entry 21","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Rev. Donald J. Hébert, Acadian Families in Exile 1785, p. 93","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","michelAucoin","The voyage","Sixth of the Seven Ships — Steven A. Cormier, Acadians in Gray, appendix","G published work, inherited","named book/journal; I did NOT open it","FLAG"
"index.html","alphonseJr","HE HELD PATENTS — and that is why his daughter was born at Thibodaux","Specifications and Drawings of Patents Issued from the United States Patent Office, 1896; Annual Report of the Commissioner of Patents, 1897; The Sugar Cane (1896); Water and Gas Review (1899); Official Gazette of the U.S. Patent Office (1910); The Louisiana Planter and Sugar Manufacturer, 1897, 1905 and 1907; English Mechanic and Mirror of Science, 1897","D fetched online source","named index/site reached this session",""
"index.html","alphonseJr","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, February 1888 — Vol. 13, p. 255","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alphonseJr","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 19 March 1919 — Vol. 176, p. 115","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alphonseJr","OCCUPATION FIELD: ENGINEER AND INVENTOR — sugar-house machinery. Held at least five United States patents between 1895 and 1910.","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","jeanneCurien","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 12 January 1919 — Vol. 175, p. 218","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alphonseSr","Baptism — St. Michael, Convent (St. James Parish)","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 4 (1820–1829), SMI-3, 164","H UNVERIFIED","no source I personally opened","FLAG"
